refFile;testFile;HRC;score;Mqs;adaptationAlgo;netcond;ssim;psnr;biqiProcess;brisqueProcess;niqeProcess;viideoProcess;diivineProcess;biqi;brisque;niqe;diivine;viideo;linear;minkowski;power
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_0;TC00;0.580403631;3.705237141;HuangBufferBasedAdaptor;Trace_0;0.958166636;36.76478591;0;0;0;0;0;43.50445748;49.65040476;6.184777927;0.35693535;0.587418787;-8.283501496;0.533935956;26.92411738
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_1;TC01;0.31254645;3.421170022;HuangBufferBasedAdaptor;Trace_1;0.955976404;36.26738493;0;0;0;0;0;40.29555365;51.29464286;6.429719523;0.387033263;0.586284378;-8.269815975;0.546928163;26.92413343
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_2;TC02;-0.255992345;2.818224913;HuangBufferBasedAdaptor;Trace_2;0.947383111;34.87086373;0;0;0;0;0;43.93146828;54.37822381;6.792473147;0.424176892;0.617318783;-8.252926767;0.56288159;26.92415428
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_3;TC03;0.325681059;3.4350995;HuangBufferBasedAdaptor;Trace_3;0.955295289;36.33552863;0;0;0;0;0;45.42528045;51.28840476;6.359107854;0.360849641;0.568416019;-8.281721668;0.535629156;26.92411942
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_4;TC04;-0.37151151;2.695714864;HuangBufferBasedAdaptor;Trace_4;0.944493007;34.36776845;0;0;0;0;0;42.35263682;57.03189583;7.212503746;0.400601184;0.688787998;-8.263646642;0.552765433;26.92414092
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_5;TC05;0.888321386;4.031789183;HuangBufferBasedAdaptor;Trace_5;0.96290574;37.86379143;0;0;0;0;0;43.62859314;47.01658571;5.84901218;0.336055172;0.544264954;-8.292995713;0.524884816;26.92410669
MD;MeridianDriving_HuangBufferBasedAdaptor_Trace_6;TC06;-0.1827671;2.895881537;HuangBufferBasedAdaptor;Trace_6;0.943275637;33.99923556;0;0;0;0;0;42.68216878;55.92125238;7.063077734;0.450787058;0.630910667;-8.240827125;0.574261768;26.92416988
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_0;TC07;1.1506923;4.310038022;OracleVMAFViterbiQualityBasedAdaptor;Trace_0;0.971827991;37.65037604;0;0;0;0;0;36.38517087;45.70112381;5.841066565;0.330651291;0.587094058;-8.295452858;0.522536917;26.92410399
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_1;TC08;0.780402611;3.917339478;OracleVMAFViterbiQualityBasedAdaptor;Trace_1;0.966899111;37.02356767;0;0;0;0;0;36.71896849;47.6889;6.118876237;0.350040717;0.592609956;-8.286636486;0.530950863;26.92411381
MD;MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_2;TC09;0.302959015;3.411002384;OracleVMAFViterbiQualityBasedAdaptor;Trace_2;0.95861873;36.02522411;0;0;0;0;0;37.74232732;49.95724286;6.429556815;0.966899111;0.620371427;-8.006150974;0.789877823;26.92456885
