refFile;testFile;Mqs;Mcs;HRC;videoDegradationType;videoCodec;videoBitrate;packetLossRate;freezingPauses;freezingLength
v01;v01_ANC2;4.661666667;4;ANC2;frameFreezing;-;-;-;0;0
v01;v01_HRC10;4.18;4;HRC10;frameFreezing;H.264;16000;-;1;2
v01;v01_ANC1;4.0325;4.25;ANC1;packetLoss;-;-;-;-;-
v01;v01_HRC9;3.993333333;3.555555556;HRC9;frameFreezing;H.264;2000;-;2;4
v01;v01_HRC8;3.61;3.4;HRC8;frameFreezing;H.265;1000;-;2;4
v01;v01_HRC5;3.287142857;3.571428571;HRC5;packetLoss;H.265;8000;0.01;-;-
v01;v01_HRC4;2.965;3;HRC4;packetLoss;H.265;1000;0.03;-;-
v01;v01_HRC7;2.663333333;3;HRC7;frameFreezing;H.264;800;-;3;7
v01;v01_HRC3;2.487142857;2.857142857;HRC3;packetLoss;H.264;2000;0.05;-;-
v01;v01_HRC6;2.46;3;HRC6;frameFreezing;H.265;200;-;3;8
v01;v01_HRC1;2.2225;4;HRC1;packetLoss;H.264;500;0.1;-;-
v01;v01_HRC2;1.906;3.6;HRC2;packetLoss;H.265;400;0.08;-;-
v02;v02_ANC2;4.62;3.25;ANC2;frameFreezing;-;-;-;0;0
v02;v02_HRC10;4.04125;3;HRC10;frameFreezing;H.264;16000;-;1;2
v02;v02_ANC1;3.884;3.4;ANC1;packetLoss;-;-;-;-;-
v02;v02_HRC9;3.663333333;3.666666667;HRC9;frameFreezing;H.264;2000;-;2;4
v02;v02_HRC5;3.57;3.666666667;HRC5;packetLoss;H.265;8000;0.01;-;-
v02;v02_HRC4;3.143333333;3.666666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v02;v02_HRC8;2.761818182;3.454545455;HRC8;frameFreezing;H.265;1000;-;2;4
v02;v02_HRC3;2.53;2.666666667;HRC3;packetLoss;H.264;2000;0.05;-;-
v02;v02_HRC2;2.48;3;HRC2;packetLoss;H.265;400;0.08;-;-
v02;v02_HRC7;2.336666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v02;v02_HRC6;2.194285714;2.857142857;HRC6;frameFreezing;H.265;200;-;3;8
v02;v02_HRC1;2.14;4;HRC1;packetLoss;H.264;500;0.1;-;-
v03;v03_ANC2;4.6;4;ANC2;frameFreezing;-;-;-;0;0
v03;v03_HRC10;4.376666667;4.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v03;v03_ANC1;4.193;3.4;ANC1;packetLoss;-;-;-;-;-
v03;v03_HRC5;3.6;3.714285714;HRC5;packetLoss;H.265;8000;0.01;-;-
v03;v03_HRC9;3.48;3.2;HRC9;frameFreezing;H.264;2000;-;2;4
v03;v03_HRC8;3.06;3;HRC8;frameFreezing;H.265;1000;-;2;4
