refFile;testFile;Mqs;Mcs;HRC;videoDegradationType;videoCodec;videoBitrate;packetLossRate;freezingPauses;freezingLength
v35;v35_ANC1;4.715;3.5;ANC1;packetLoss;-;-;-;-;-
v35;v35_ANC2;4.621428571;3.714285714;ANC2;frameFreezing;-;-;-;0;0
v35;v35_HRC1;2.01;2.8;HRC1;packetLoss;H.264;500;0.1;-;-
v35;v35_HRC10;4.2575;3.875;HRC10;frameFreezing;H.264;16000;-;1;2
v35;v35_HRC2;2.503333333;3.5;HRC2;packetLoss;H.265;400;0.08;-;-
v35;v35_HRC3;2.634;3.4;HRC3;packetLoss;H.264;2000;0.05;-;-
v35;v35_HRC4;2.813333333;3.166666667;HRC4;packetLoss;H.265;1000;0.03;-;-
v35;v35_HRC5;2.7725;3.25;HRC5;packetLoss;H.265;8000;0.01;-;-
v35;v35_HRC6;2.123333333;2.666666667;HRC6;frameFreezing;H.265;200;-;3;8
v35;v35_HRC7;2.3075;3.25;HRC7;frameFreezing;H.264;800;-;3;7
v35;v35_HRC8;3.01;3.0;HRC8;frameFreezing;H.265;1000;-;2;4
v35;v35_HRC9;3.62;2.25;HRC9;frameFreezing;H.264;2000;-;2;4
v39;v39_ANC1;4.203333333;3.5;ANC1;packetLoss;-;-;-;-;-
v39;v39_ANC2;4.43;3.666666667;ANC2;frameFreezing;-;-;-;0;0
v39;v39_HRC1;2.3480000000000003;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v39;v39_HRC10;4.0433333330000005;3.333333333;HRC10;frameFreezing;H.264;16000;-;1;2
v39;v39_HRC2;1.9783333330000001;3.5;HRC2;packetLoss;H.265;400;0.08;-;-
v39;v39_HRC3;2.49125;3.125;HRC3;packetLoss;H.264;2000;0.05;-;-
v39;v39_HRC4;3.11;2.5;HRC4;packetLoss;H.265;1000;0.03;-;-
v39;v39_HRC5;3.384;3.8;HRC5;packetLoss;H.265;8000;0.01;-;-
v39;v39_HRC6;1.495;2.0;HRC6;frameFreezing;H.265;200;-;3;8
v39;v39_HRC7;2.866666667;2.666666667;HRC7;frameFreezing;H.264;800;-;3;7
v39;v39_HRC8;1.87;4.333333333;HRC8;frameFreezing;H.265;1000;-;2;4
v39;v39_HRC9;3.525;3.25;HRC9;frameFreezing;H.264;2000;-;2;4
v32;v32_ANC1;3.958;3.0;ANC1;packetLoss;-;-;-;-;-
v32;v32_ANC2;4.835;4.0;ANC2;frameFreezing;-;-;-;0;0
v32;v32_HRC1;2.394;3.0;HRC1;packetLoss;H.264;500;0.1;-;-
v32;v32_HRC10;3.72;4.0;HRC10;frameFreezing;H.264;16000;-;1;2
v32;v32_HRC2;2.45;3.0;HRC2;packetLoss;H.265;400;0.08;-;-
v32;v32_HRC3;2.3475;3.25;HRC3;packetLoss;H.264;2000;0.05;-;-
v32;v32_HRC4;2.99;3.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v32;v32_HRC5;3.816666667;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v32;v32_HRC6;1.91;3.666666667;HRC6;frameFreezing;H.265;200;-;3;8
v32;v32_HRC7;2.456;3.1;HRC7;frameFreezing;H.264;800;-;3;7
v32;v32_HRC8;3.3475;3.25;HRC8;frameFreezing;H.265;1000;-;2;4
v32;v32_HRC9;2.606666667;3.0;HRC9;frameFreezing;H.264;2000;-;2;4
v44;v44_ANC1;4.292;3.6;ANC1;packetLoss;-;-;-;-;-
v44;v44_ANC2;4.626;3.8;ANC2;frameFreezing;-;-;-;0;0
v44;v44_HRC1;3.24;3.8;HRC1;packetLoss;H.264;500;0.1;-;-
v44;v44_HRC10;4.255;4.0;HRC10;frameFreezing;H.264;16000;-;1;2
v44;v44_HRC2;2.471666667;3.166666667;HRC2;packetLoss;H.265;400;0.08;-;-
v44;v44_HRC3;3.8475;3.5;HRC3;packetLoss;H.264;2000;0.05;-;-
v44;v44_HRC4;2.736;3.6;HRC4;packetLoss;H.265;1000;0.03;-;-
v44;v44_HRC5;3.8075;4.0;HRC5;packetLoss;H.265;8000;0.01;-;-
v44;v44_HRC6;1.66125;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v44;v44_HRC7;3.0875;3.125;HRC7;frameFreezing;H.264;800;-;3;7
v44;v44_HRC8;3.646666667;4.0;HRC8;frameFreezing;H.265;1000;-;2;4
v44;v44_HRC9;3.4775;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v28;v28_ANC1;4.044;3.8;ANC1;packetLoss;-;-;-;-;-
v28;v28_ANC2;4.57;4.2;ANC2;frameFreezing;-;-;-;0;0
v28;v28_HRC1;2.087142857;2.857142857;HRC1;packetLoss;H.264;500;0.1;-;-
v28;v28_HRC10;3.693333333;4.0;HRC10;frameFreezing;H.264;16000;-;1;2
v28;v28_HRC2;2.38;3.166666667;HRC2;packetLoss;H.265;400;0.08;-;-
v28;v28_HRC3;1.875;3.0;HRC3;packetLoss;H.264;2000;0.05;-;-
v28;v28_HRC4;2.04;3.0;HRC4;packetLoss;H.265;1000;0.03;-;-
v28;v28_HRC5;3.43;3.5;HRC5;packetLoss;H.265;8000;0.01;-;-
v28;v28_HRC6;1.8077777780000002;3.0;HRC6;frameFreezing;H.265;200;-;3;8
v28;v28_HRC7;2.13;3.333333333;HRC7;frameFreezing;H.264;800;-;3;7
v28;v28_HRC8;2.82;2.833333333;HRC8;frameFreezing;H.265;1000;-;2;4
v28;v28_HRC9;3.4325;3.5;HRC9;frameFreezing;H.264;2000;-;2;4
v57;v57_ANC1;4.776666667;4.333333333;ANC1;packetLoss;-;-;-;-;-
v57;v57_ANC2;4.5;4.0;ANC2;frameFreezing;-;-;-;0;0
v57;v57_HRC1;2.762;3.4;HRC1;packetLoss;H.264;500;0.1;-;-
